start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
8.433979138321995,8.584908843537415,74,43,1,1,1,1,1,1,1,1,1,1,1,1,1
8.097289795918368,8.422369160997732,88,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.945076190476191,8.352709297052154,84,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.608386848072563,7.95797006802721,79,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.608386848072563,7.805756462585034,60,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.44584716553288,7.759316553287982,72,60,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
5.110957823129252,5.261887528344671,84,73,1,1,1,1,1,1,1,1,1,1,1,1,1
4.762658503401361,4.971638095238095,76,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.437579138321995,4.588508843537415,86,71,1,1,1,1,1,1,1,1,1,1,1,1,1
4.100889795918367,4.2634294784580495,88,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.9370662131519274,4.066059863945578,84,73,1,1,1,1,1,1,1,1,1,1,1,1
3.6119868480725623,4.031229931972789,79,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.4494471655328796,3.588766893424036,72,83,1,1,1,1,1,1,1,1,1,1,1,1
1.7763265306122449,2.2187895691609976,91,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4396371882086167,1.5789569160997732,79,75,1,1,1,1,1,1,1,1,1,1,1,1
1.1029478458049886,1.253877551020408,86,70,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7662585034013606,0.9287981859410431,88,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.26702947845804986,0.7082086167800453,79,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.10448979591836735,0.2438095238095238,72,79,0,1,1,1,1,1,1,1,1,1,1,1
0.5804988662131519,0.7198185941043084,84,74,-1,0,1,1,1,1,1,1,1,1,1,1
13.684256689342403,13.82357641723356,84,70,1,1,1,1,1,1,1,1,1,1,1,1
12.5232589569161,12.70901859410431,96,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.546736961451249,11.686056689342404,100,48,1,1,1,1,1,1,1,1,1,1,1,1
